%time vcc icc nReset externalCircuitry.v_cap externalCircuitry.keepAlive externalCircuitry.i_supply
0 0 0 0 0 0 0.2
1e-05 0 0 0 0.425478723404 0 0.2
2e-05 0 0 0 0.850957446809 0 0.2
3e-05 0 0 0 1.27643617021 0 0.2
4e-05 0 0 0 1.70191489362 0 0.2
5e-05 0 0 0 2.12739361702 0 0.2
6e-05 0 0 0 2.55287234043 0 0.2
7e-05 0 0 0 2.97835106383 0 0.2
8e-05 0 0 0 3.40382978723 0 0.2
9e-05 3.82930851064 0 0 3.82930851064 0 0
0.0001 3.82925531915 1.98e-05 0 3.82925531915 0 0
0.00011 3.82920212766 1.98e-05 0 3.82920212766 0 0
0.00012 3.82910680851 1.98e-05 0 3.82910680851 0 0
0.00013 3.82901148936 3.96e-05 0 3.82901148936 0 0
0.00014 3.82891617021 3.96e-05 0 3.82891617021 0 0
0.00015 3.8287787234 5.94e-05 0 3.8287787234 0 0
0.00016 3.8286412766 7.92e-05 0 3.8286412766 0 0
0.00017 3.82846170213 7.92e-05 0 3.82846170213 0 0
0.00018 3.82824 7.92e-05 0 3.82824 0 0
0.00019 3.82801829787 7.92e-05 0 3.82801829787 0 0
0.0002 3.82779659574 7.92e-05 0 3.82779659574 0 0
0.00021 3.82757489362 7.92e-05 0 3.82757489362 0 0
0.00022 3.82735319149 7.92e-05 0 3.82735319149 0 0
0.00023 3.82713148936 7.92e-05 0 3.82713148936 0 0
0.00024 3.82690978723 7.92e-05 0 3.82690978723 0 0
0.00025 3.82668808511 9.9e-05 0 3.82668808511 0 0
0.00026 3.82646638298 7.92e-05 0 3.82646638298 0 0
0.00027 3.82620255319 7.92e-05 0 3.82620255319 0 0
0.00028 3.82598085106 7.92e-05 0 3.82598085106 0 0
0.00029 3.82575914894 7.92e-05 0 3.82575914894 0 0
0.0003 3.82553744681 7.92e-05 0 3.82553744681 0 0
0.00031 3.82531574468 7.92e-05 0 3.82531574468 0 0
0.00032 3.82509404255 7.92e-05 0 3.82509404255 0 0
0.00033 3.82487234043 7.92e-05 0 3.82487234043 0 0
0.00034 3.8246506383 9.9e-05 0 3.8246506383 0 0
0.00035 3.82442893617 7.92e-05 0 3.82442893617 0 0
0.00036 3.82416510638 7.92e-05 0 3.82416510638 0 0
0.00037 3.82394340426 7.92e-05 0 3.82394340426 0 0
0.00038 3.82372170213 7.92e-05 0 3.82372170213 0 0
0.00039 3.8235 9.9e-05 0 3.8235 0 0
